"transaction_id","trans_group_en","property_usage_en","procedure_name_en","instance_date","area_id","area_name_en","procedure_area","actual_worth","meter_sale_price"
"1-11-2023-14613","Sales","Commercial","Sell","16-05-2023",526,"Business Bay",57.6,735000.0,12760.42
"1-11-2023-43143","Sales","Commercial","Sell","28-12-2023",343,"Al Warsan First",121.64,785592.0,6458.34
"1-11-2023-32714","Sales","Commercial","Sell","13-10-2023",526,"Business Bay",131.49,1789867.0,13612.19
"1-11-2023-20579","Sales","Commercial","Sell","26-06-2023",410,"Palm Jumeirah",1244.7,47000000.0,37760.1
"1-11-2023-19692","Sales","Commercial","Sell","22-06-2023",350,"Al Thanyah Fifth",1001.95,24000000.0,23953.29
"1-11-2023-32645","Sales","Commercial","Sell","11-10-2023",343,"Al Warsan First",38.0,430000.0,11315.79
"1-11-2023-12246","Sales","Commercial","Sell","27-04-2023",350,"Al Thanyah Fifth",173.23,1678167.0,9687.51
"1-11-2023-23037","Sales","Commercial","Sell","20-07-2023",343,"Al Warsan First",66.0,600000.0,9090.91
"1-11-2023-13938","Sales","Commercial","Sell","10-05-2023",526,"Business Bay",94.83,638643.0,6734.61
"1-11-2023-17529","Sales","Commercial","Sell","06-06-2023",343,"Al Warsan First",154.0,2000000.0,12987.01
"1-11-2023-35987","Sales","Commercial","Sell","07-11-2023",526,"Business Bay",107.17,2060000.0,19221.8
"1-11-2023-9848","Sales","Commercial","Sell","04-04-2023",350,"Al Thanyah Fifth",117.06,492924.0,4210.87
"1-11-2023-18515","Sales","Commercial","Sell","13-06-2023",526,"Business Bay",49.24,650000.0,13200.65
"1-11-2023-34464","Sales","Commercial","Sell","25-10-2023",526,"Business Bay",76.98,1232477.0,16010.35
"1-11-2023-37678","Sales","Commercial","Sell","17-11-2023",409,"Al Barshaa South Third",51.22,820000.0,16009.37
"1-11-2023-43343","Sales","Commercial","Sell","28-12-2023",343,"Al Warsan First",154.0,1640000.0,10649.35
"1-11-2023-16916","Sales","Commercial","Sell","01-06-2023",343,"Al Warsan First",43.0,388794.0,9041.72
"1-11-2023-34201","Sales","Commercial","Sell","25-10-2023",444,"Al Hebiah First",342.6,2046840.0,5974.43
"1-11-2023-445","Sales","Commercial","Sell","05-01-2023",350,"Al Thanyah Fifth",120.03,775000.0,6456.72
"1-11-2023-619","Sales","Commercial","Sell","10-01-2023",350,"Al Thanyah Fifth",72.07,2050000.0,28444.57
"1-11-2023-23038","Sales","Commercial","Sell","20-07-2023",343,"Al Warsan First",69.0,650000.0,9420.29
"1-11-2023-5007","Sales","Commercial","Sell","22-02-2023",410,"Palm Jumeirah",639.27,29500000.0,46146.39
"1-11-2023-20475","Sales","Commercial","Sell","26-06-2023",350,"Al Thanyah Fifth",840.84,7600000.0,9038.58
"1-11-2023-15586","Sales","Commercial","Sell","23-05-2023",526,"Business Bay",81.46,964000.0,11834.03
"1-11-2023-25398","Sales","Commercial","Sell","11-08-2023",350,"Al Thanyah Fifth",206.18,1730480.0,8393.05
"1-11-2023-9651","Sales","Commercial","Sell","31-03-2023",445,"Jabal Ali First",607.08,3750000.0,6177.11
"1-11-2023-19555","Sales","Commercial","Sell","20-06-2023",435,"Al Hebiah Fourth",249.6,3580000.0,14342.95
"1-11-2023-41752","Sales","Commercial","Sell","15-12-2023",350,"Al Thanyah Fifth",134.97,1191296.0,8826.38
"1-11-2023-16402","Sales","Commercial","Sell","30-05-2023",240,"Port Saeed",420.01,4200000.0,9999.76
"1-11-2023-20891","Sales","Commercial","Sell","06-07-2023",301,"Al Nahda Second",3114.76,90000000.0,28894.68
"1-11-2023-25655","Sales","Commercial","Sell","14-08-2023",435,"Al Hebiah Fourth",758.78,5848400.0,7707.64
"1-11-2023-21056","Sales","Commercial","Sell","05-07-2023",352,"Al Thanayah Fourth",550.54,7200000.0,13078.07
"1-11-2023-9652","Sales","Commercial","Sell","03-04-2023",526,"Business Bay",26.86,360000.0,13402.83
"1-11-2023-41553","Sales","Commercial","Sell","14-12-2023",350,"Al Thanyah Fifth",163.47,1156050.0,7071.94
"1-11-2023-20296","Sales","Commercial","Sell","26-06-2023",350,"Al Thanyah Fifth",114.55,1000000.0,8729.81
"1-11-2023-17674","Sales","Commercial","Sell","07-06-2023",410,"Palm Jumeirah",127.0,526300.0,4144.09
"1-11-2023-6666","Sales","Commercial","Sell","08-03-2023",526,"Business Bay",80.36,655728.0,8159.88
"1-11-2023-18492","Sales","Commercial","Sell","15-06-2023",485,"Me'Aisem First",743.3,8300000.0,11166.42
"1-11-2023-36237","Sales","Commercial","Sell","08-11-2023",526,"Business Bay",53.29,750000.0,14073.94
"1-11-2023-24381","Sales","Commercial","Sell","02-08-2023",443,"Al Thanyah First",135.36,700000.0,5171.39
"1-11-2023-39166","Sales","Commercial","Sell","30-11-2023",526,"Business Bay",61.88,1307495.0,21129.52
"1-11-2023-17685","Sales","Commercial","Sell","07-06-2023",350,"Al Thanyah Fifth",59.27,775000.0,13075.76
"1-11-2023-1573","Sales","Commercial","Sell","19-01-2023",330,"Marsa Dubai",105.52,1780660.0,16875.09
"1-11-2023-11146","Sales","Commercial","Sell","14-04-2023",350,"Al Thanyah Fifth",176.05,1217102.0,6913.39
"1-11-2023-14532","Sales","Commercial","Sell","16-05-2023",526,"Business Bay",77.71,800000.0,10294.69
"1-11-2023-25322","Sales","Commercial","Sell","10-08-2023",343,"Al Warsan First",66.0,500000.0,7575.76
"1-11-2023-41517","Sales","Commercial","Sell","14-12-2023",350,"Al Thanyah Fifth",510.0,5900000.0,11568.63
"1-11-2023-27094","Sales","Commercial","Sell","28-08-2023",350,"Al Thanyah Fifth",703.97,4800000.0,6818.47
"1-11-2023-410","Sales","Commercial","Sell","06-01-2023",526,"Business Bay",73.98,788491.0,10658.17
"1-11-2023-3454","Sales","Commercial","Sell","07-02-2023",485,"Me'Aisem First",898.9,13500000.0,15018.36
"1-11-2023-27586","Sales","Commercial","Sell","04-09-2023",526,"Business Bay",80.36,940000.0,11697.36
"1-11-2023-37910","Sales","Commercial","Sell","20-11-2023",443,"Al Thanyah First",148.09,800000.0,5402.12
"1-11-2023-36205","Sales","Commercial","Sell","08-11-2023",485,"Me'Aisem First",1327.0,13200000.0,9947.25
"1-11-2023-36851","Sales","Commercial","Sell","13-11-2023",484,"Nadd Hessa",387.18,3850000.0,9943.7
"1-11-2023-34241","Sales","Commercial","Sell","25-10-2023",444,"Al Hebiah First",309.29,1847595.0,5973.67
"1-11-2023-13758","Sales","Commercial","Sell","09-05-2023",409,"Al Barshaa South Third",71.74,626262.0,8729.61
"1-11-2023-32716","Sales","Commercial","Sell","13-10-2023",526,"Business Bay",168.99,2300331.0,13612.23
"1-11-2023-35478","Sales","Commercial","Sell","02-11-2023",465,"Wadi Al Safa 3",1040.09,20500000.0,19709.83
"1-11-2023-34406","Sales","Commercial","Sell","26-10-2023",485,"Me'Aisem First",878.82,19000000.0,21619.9
"1-11-2023-17697","Sales","Commercial","Sell","07-06-2023",350,"Al Thanyah Fifth",186.57,2000000.0,10719.84
"1-11-2023-23772","Sales","Commercial","Sell","27-07-2023",350,"Al Thanyah Fifth",611.16,5000000.0,8181.16
"1-11-2023-24285","Sales","Commercial","Sell","01-08-2023",526,"Business Bay",251.8,2472940.0,9821.05
"1-11-2023-30835","Sales","Commercial","Sell","26-09-2023",395,"Jabal Ali Industrial First",1040.02,11500000.0,11057.48
"1-11-2023-3293","Sales","Commercial","Sell","06-02-2023",442,"Al Barsha South Fifth",540.0,2100000.0,3888.89
"1-11-2023-28899","Sales","Commercial","Sell","12-09-2023",266,"Al Satwa",1543.72,16450296.0,10656.27
"1-11-2023-14539","Sales","Commercial","Sell","15-05-2023",410,"Palm Jumeirah",681.39,49000000.0,71911.83
"1-11-2023-7079","Sales","Commercial","Sell","15-03-2023",350,"Al Thanyah Fifth",284.93,2809712.0,9861.06
"1-11-2023-5285","Sales","Commercial","Sell","24-02-2023",526,"Business Bay",143.23,1281161.0,8944.78
"1-11-2023-31081","Sales","Commercial","Sell","27-09-2023",343,"Al Warsan First",154.0,1500000.0,9740.26
"1-11-2023-37546","Sales","Commercial","Sell","17-11-2023",441,"Al Barsha South Fourth",184.69,1000000.0,5414.48
"1-11-2023-6800","Sales","Commercial","Sell","09-03-2023",343,"Al Warsan First",154.0,1560000.0,10129.87
"1-11-2023-39147","Sales","Commercial","Sell","01-12-2023",526,"Business Bay",73.23,1546844.0,21123.09
"1-11-2023-25978","Sales","Commercial","Sell","16-08-2023",526,"Business Bay",56.67,700000.0,12352.21
"1-11-2023-1280","Sales","Commercial","Sell","17-01-2023",343,"Al Warsan First",66.0,464830.0,7042.88
"1-11-2023-9835","Sales","Commercial","Sell","04-04-2023",441,"Al Barsha South Fourth",1649.05,15500000.0,9399.35
"1-11-2023-42016","Sales","Commercial","Sell","19-12-2023",350,"Al Thanyah Fifth",92.4,1050000.0,11363.64
"1-11-2023-4492","Sales","Commercial","Sell","16-02-2023",339,"Al Mararr",201.88,466900.0,2312.76
"1-11-2023-14975","Sales","Commercial","Sell","18-05-2023",232,"Mirdif",186.12,2533655.0,13613.02
"1-11-2023-25698","Sales","Commercial","Sell","15-08-2023",435,"Al Hebiah Fourth",636.44,7500000.0,11784.3
"1-11-2023-17247","Sales","Commercial","Sell","06-06-2023",350,"Al Thanyah Fifth",59.18,780325.0,13185.62
"1-11-2023-8755","Sales","Commercial","Sell","24-03-2023",350,"Al Thanyah Fifth",624.62,4370178.0,6996.54
"1-11-2023-1831","Sales","Commercial","Sell","23-01-2023",526,"Business Bay",87.42,770000.0,8808.05
"1-11-2023-11849","Sales","Commercial","Sell","25-04-2023",445,"Jabal Ali First",5776.8,22128800.0,3830.63
"1-11-2023-14520","Sales","Commercial","Sell","15-05-2023",526,"Business Bay",130.95,2350000.0,17945.78
"1-11-2023-17814","Sales","Commercial","Sell","07-06-2023",350,"Al Thanyah Fifth",167.39,2577600.0,15398.77
"1-11-2023-13218","Sales","Commercial","Sell","05-05-2023",465,"Wadi Al Safa 3",364.56,3296233.0,9041.67
"1-11-2023-37390","Sales","Commercial","Sell","16-11-2023",526,"Business Bay",227.09,2600000.0,11449.21
"1-11-2023-8123","Sales","Commercial","Sell","23-03-2023",350,"Al Thanyah Fifth",102.54,624094.0,6086.35
"1-11-2023-19860","Sales","Commercial","Sell","21-06-2023",352,"Al Thanayah Fourth",850.25,12800000.0,15054.4
"1-11-2023-19654","Sales","Commercial","Sell","20-06-2023",350,"Al Thanyah Fifth",49.12,500000.0,10179.15
"1-11-2023-2809","Sales","Commercial","Sell","01-02-2023",526,"Business Bay",82.48,950000.0,11517.94
"1-11-2023-9953","Sales","Commercial","Sell","04-04-2023",350,"Al Thanyah Fifth",601.28,5200000.0,8648.22
"1-11-2023-41526","Sales","Commercial","Sell","25-12-2023",350,"Al Thanyah Fifth",54.68,560000.0,10241.4
"1-11-2023-3557","Sales","Commercial","Sell","08-02-2023",410,"Palm Jumeirah",61.03,252900.0,4143.86
"1-11-2023-11801","Sales","Commercial","Sell","19-04-2023",410,"Palm Jumeirah",58.81,243700.0,4143.85
"1-11-2023-20139","Sales","Commercial","Sell","23-06-2023",441,"Al Barsha South Fourth",2248.42,24615570.0,10947.94
"1-11-2023-12747","Sales","Commercial","Sell","02-05-2023",352,"Al Thanayah Fourth",605.45,4600000.0,7597.65
"1-11-2023-34876","Sales","Commercial","Sell","30-10-2023",350,"Al Thanyah Fifth",50.5,1421365.0,28145.84
"1-11-2023-25699","Sales","Commercial","Sell","15-08-2023",350,"Al Thanyah Fifth",267.02,5845000.0,21889.75
"1-11-2023-27314","Sales","Commercial","Sell","29-08-2023",526,"Business Bay",184.32,2805760.0,15222.22
"1-11-2023-43400","Sales","Commercial","Sell","28-12-2023",445,"Jabal Ali First",5175.1,20800000.0,4019.25
"1-11-2023-34309","Sales","Commercial","Sell","24-10-2023",485,"Me'Aisem First",853.64,18200000.0,21320.46
"1-11-2023-15169","Sales","Commercial","Sell","22-05-2023",350,"Al Thanyah Fifth",102.01,1109186.0,10873.31
"1-11-2023-26102","Sales","Commercial","Sell","17-08-2023",409,"Al Barshaa South Third",50.61,390000.0,7705.99
"1-11-2023-34032","Sales","Commercial","Sell","23-10-2023",452,"Al Hebiah Second",138.53,2000000.0,14437.31
"1-11-2023-17843","Sales","Commercial","Sell","12-06-2023",526,"Business Bay",40.85,515000.0,12607.1
"1-11-2023-4036","Sales","Commercial","Sell","14-02-2023",350,"Al Thanyah Fifth",152.56,928533.0,6086.35
"1-11-2023-10953","Sales","Commercial","Sell","13-04-2023",526,"Business Bay",93.2,1103300.0,11837.98
"1-11-2023-1034","Sales","Commercial","Sell","12-01-2023",526,"Business Bay",86.77,940000.0,10833.24
"1-11-2023-5922","Sales","Commercial","Sell","01-03-2023",409,"Al Barshaa South Third",64.71,720000.0,11126.56
"1-11-2023-2374","Sales","Commercial","Sell","26-01-2023",526,"Business Bay",225.52,7800000.0,34586.73
